Name	Length	CAI	%G+C	%G+C(1)	%G+C(2)	%G+C(3)	Nc
b0101	198	0.651	51.5	51.5	51.5	51.5	36.6
b0102	744	0.74	51.5	62.5	37.1	54.8	46.3
b0103	621	0.673	52.7	67.6	38.6	51.7	51.3
b4727	45	0.542	31.1	20	40	33.3	41.7
b0104	1044	0.745	51.3	58.3	43.4	52.3	43.1
b0106	1203	0.656	52	57.9	39.9	58.1	52.7
b0107	1386	0.655	53.5	65.2	42	53.2	56.2
b0108	441	0.701	53.1	55.1	44.9	59.2	44
b0109	894	0.72	53.1	64.8	38.9	55.7	45.4
b0110	552	0.703	53.8	63.6	46.2	51.6	53.3
b0111	855	0.717	52	60.4	40.4	55.4	44.3
b0112	1374	0.74	52.7	56.1	39.1	62.9	39.5
b0113	765	0.704	55.8	67.8	38	61.6	49.9
b0114	2664	0.758	53	61.1	38.1	59.9	33.6
b0115	1893	0.738	54.7	65.8	41.8	56.4	35.2
b0116	1425	0.739	53.1	63.2	39.2	56.8	34.7
b0117	1854	0.65	53.9	64.4	43.9	53.4	56
b0118	2598	0.764	55.9	64.7	42.4	60.6	36.9
b0119	363	0.725	52.1	66.9	28.9	60.3	42.9
b0120	795	0.752	46.2	52.5	31.3	54.7	42.3
b0121	867	0.752	50.7	59.2	36.7	56.4	44.1
b0122	348	0.715	50	51.7	37.1	61.2	46.6
b0123	1551	0.734	54.7	61.7	40	62.3	46.4
b0124	2391	0.744	55.4	60	45.9	60.4	42.5
b0125	537	0.801	50.7	59.8	34.1	58.1	34.8
b0126	663	0.724	50.7	60.6	34.4	57	42.9
b0127	927	0.724	49.6	59.2	34.6	55	44.9
b0128	771	0.746	50.7	51.8	37.4	63	45.6
b0129	441	0.684	49.2	56.5	40.1	51	45
b0130	1230	0.714	49.5	55.4	39.3	53.9	49.8
b0131	381	0.756	52.5	58.3	43.3	55.9	49.8
b0132	903	0.656	48.8	59.5	32.6	54.5	54.2
b0133	852	0.739	52.7	64.1	35.9	58.1	43.3
b0134	795	0.733	54.6	64.9	41.1	57.7	44.9
b0135	1239	0.62	40.4	43.3	43.1	34.6	55.8
b0136	597	0.634	41.4	48.7	41.7	33.7	57.3
b0137	606	0.617	42.6	45.5	47.5	34.7	53.8
b0138	570	0.605	42.8	42.1	45.8	40.5	61
b0139	2598	0.673	43.3	49.5	41.2	39.3	49.7
b0140	741	0.684	44.4	48.6	43.7	40.9	51.3
b0141	585	0.689	44.8	50.3	43.1	41	41.2
b0142	480	0.694	50	60	38.1	51.9	52.2
b0143	1398	0.744	55.9	63.1	42.3	62.2	43.9
b0144	927	0.676	53.6	66.3	41.7	52.8	55.1
b0145	456	0.739	52.6	65.1	36.8	55.9	44.7
b0146	705	0.698	49.4	54	44.3	49.8	53.7
b0147	531	0.673	55.9	61.6	50.8	55.4	50.4
b0148	2430	0.705	56.6	67.8	43.8	58.1	45.4
b0149	2535	0.743	55.1	62.8	41.5	61.1	39.5
b0150	2244	0.753	51.2	56.7	43.6	53.5	42.4
b0151	798	0.755	56.9	66.2	45.5	59	40.6
b0152	891	0.731	54.7	59.6	44.1	60.3	45.7
b0153	1983	0.73	59.8	61.4	47.7	70.2	45.6
b0154	1281	0.761	55.5	63.7	44.5	58.3	44.2
b0155	1422	0.699	53.9	60.1	44.9	56.5	48.3
b4728	66	0.753	39.4	40.9	36.4	40.9	20
b0156	345	0.83	50.7	55.7	40	56.5	30.1
b0157	624	0.689	53.7	61.1	42.8	57.2	48
b0158	801	0.655	52.9	62.5	42.7	53.6	53.1
b0159	699	0.715	52.4	63.5	39.5	54.1	45.1
b0160	1518	0.711	48	58.1	37.4	48.4	51.1
b0161	1425	0.773	54	57.7	41.7	62.5	37.1
b0162	1158	0.692	52.8	63.7	38.1	56.7	47.1
b0163	387	0.706	44.4	56.6	26.4	50.4	45
b0164	813	0.713	51.4	57.6	43.2	53.5	52.1
b0166	825	0.792	53.1	61.5	39.6	58.2	38.5
b0167	2673	0.706	53.9	64.1	38.6	59.1	48.1
b0168	795	0.749	50.4	57.4	36.2	57.7	41.4
b0169	726	0.71	51.4	60.3	37.2	56.6	30.1
b0170	852	0.716	49.9	64.1	35.2	50.4	32.1
b0171	726	0.752	52.8	61.6	40.5	56.2	41
b0172	558	0.776	50.9	63.4	39.8	49.5	35.8
b0173	1197	0.725	52.6	60.9	42.1	54.9	48.8
b0174	762	0.666	50	61	41.7	47.2	51.3
b0175	858	0.665	50.8	54.2	42.7	55.6	56.3
b0176	1353	0.656	50.9	60.5	40.1	52.1	53.2
b0177	2433	0.749	50.7	55.7	39.2	57.1	38.7
b0178	486	0.748	50.2	60.5	37	53.1	38.8
b0179	1026	0.724	52.8	57.6	41.2	59.6	48
b0180	456	0.724	50.4	63.2	38.2	50	42.6
b0181	789	0.769	53.1	60.8	42.2	56.3	43.6
b0182	1149	0.726	53.8	65.5	39.9	55.9	50.2
b0183	597	0.75	57.3	68.3	42.7	60.8	43.1
b0184	3483	0.717	55	63.7	37.8	63.4	44.1
b0185	960	0.768	52.3	65.6	41.6	49.7	39.8
b0186	2142	0.699	50.9	56.7	37.8	58.1	49.2
b0187	390	0.741	50.5	60.8	36.9	53.8	46.7
b0188	1299	0.703	58	68.8	45.7	59.6	45.2
b0189	255	0.747	47.8	58.8	31.8	52.9	48
b4406	201	0.692	50.7	61.2	37.3	53.7	57.7
b0190	546	0.774	52.4	59.9	39.6	57.7	45.5
b0191	423	0.684	54.1	61	46.8	54.6	46.9
b0192	711	0.685	52.3	56.5	46.8	53.6	51.8
b0193	825	0.677	49.3	53.8	43.3	50.9	53
b0194	1719	0.757	54.5	64	38.2	61.3	37.4
b0195	708	0.702	55.2	64	42.8	58.9	44.5
b0196	405	0.683	53.3	54.8	54.1	51.1	48.9
b0197	816	0.766	49.1	64	30.9	52.6	40.5
b0198	654	0.732	52.3	57.3	42.2	57.3	38.4
b0199	1032	0.738	52.9	60.2	38.1	60.5	47
b0200	576	0.746	50.2	62.5	37	51	46.2
b0207	804	0.696	46.3	57.5	38.1	43.3	44.6
b0208	915	0.649	49.6	54.1	43	51.8	57.9
b0209	801	0.689	52.7	61	42.7	54.3	52.3
b0210	624	0.725	49	56.7	41.8	48.6	51.3
b0211	1359	0.674	51.9	55.4	44.6	55.8	48.5
b0212	756	0.638	40.2	51.2	34.1	35.3	53.6
b0213	723	0.639	49.4	57.7	41.5	49	54.2
b0214	468	0.725	50.4	58.3	42.3	50.6	49
b0215	732	0.692	50.1	59.8	37.7	52.9	50.6
b0217	786	0.644	42.7	50	34.7	43.5	54.2
b4586	480	0.579	30.6	31.9	31.2	28.7	50.2
b0219	771	0.727	54.7	62.6	44	57.6	44.3
b0220	474	0.694	50	48.1	44.3	57.6	52.9
b0221	2445	0.766	56.9	62.1	41.8	66.7	41.2
b0222	579	0.786	50.9	57.5	37.8	57.5	37.1
b0223	768	0.723	53.6	54.7	45.7	60.5	50.4
b0224	741	0.716	48.4	50.6	36	58.7	48.8
b0225	279	0.637	39.4	51.6	31.2	35.5	49.4
b0226	261	0.686	46.7	58.6	34.5	47.1	50.5
b0227	750	0.711	52.4	53.2	41.2	62.8	48.9
b0228	498	0.646	44.8	48.8	39.8	45.8	56.4
b0231	1056	0.72	54.2	61.9	41.8	58.8	48.8
b0232	294	0.611	42.2	55.1	34.7	36.7	55.5
b0233	399	0.657	43.6	56.4	34.6	39.8	50.1
b0234	453	0.684	43.3	49.7	38.4	41.7	59.2
b0237	1458	0.783	51.4	61.3	37	55.8	39.4
b0238	459	0.765	51.9	64.1	39.9	51.6	40.5
b0239	1245	0.745	53.7	59.3	42.9	58.8	47.7
b4710	504	0.664	54.6	57.7	39.9	66.1	46
b4709	276	0.672	52.9	50	54.3	54.3	46.6
b0241	1056	0.751	44.7	50.3	37.2	46.6	46.3
b0242	1104	0.745	56.2	65.5	44.8	58.4	41
b0243	1254	0.744	54.3	64.8	41.4	56.7	45
b0245	342	0.592	51.2	59.6	40.4	53.5	61
b0246	318	0.708	56.9	57.5	42.5	70.8	37.9
b4504	222	0.724	55.9	50	47.3	70.3	48.1
b0247	477	0.647	58.5	69.2	38.4	67.9	48.3
b0248	459	0.667	55.6	59.5	44.4	62.7	44.5
b0249	240	0.651	58.8	58.8	53.8	63.7	61
b0250	468	0.656	52.6	50.6	41	66	45.1
b0251	444	0.727	50.7	57.4	33.1	61.5	48.7
b0252	822	0.657	57.8	66.4	43.8	63.1	47.8
b0253	864	0.665	56.8	64.6	42	63.9	47.1
b0254	894	0.616	48	60.4	38.9	44.6	55.9
b0256	1152	0.599	45.8	51.3	45.3	40.9	55.5
b0258	1146	0.626	54.5	58.6	43.5	61.5	54.2
b0259	1017	0.707	54.7	55.8	37.5	70.8	43
b0260	1404	0.723	54.8	56.4	45.9	62.2	46.9
b0261	933	0.793	60.3	67.8	47.3	65.9	39.7
b0262	1047	0.753	56.4	63	36.4	69.6	40.7
b0264	504	0.664	55.2	58.9	39.9	66.7	46.8
b0265	276	0.675	53.3	50	54.3	55.4	45.2
b0266	351	0.629	51	61.5	40.2	51.3	55.6
b0267	1155	0.714	62.1	62.9	47.8	75.6	41.3
b0268	909	0.765	61.6	64	41.3	79.5	36.9
b0269	1968	0.762	66.7	65.7	48.8	85.7	33.5
b0270	1383	0.758	62.5	56.4	41.6	89.4	30.3
b0271	1611	0.758	64.4	59	46.2	87.9	31.9
b0272	759	0.723	63.2	64.4	41.9	83.4	36.9
b0273	1005	0.747	58.8	61.2	38.5	76.7	37.5
b4688	129	0.639	42.6	48.8	37.2	41.9	57.3
b0274	504	0.664	55.2	58.9	39.9	66.7	46.8
b0275	276	0.675	53.3	50	54.3	55.4	45.2
b0276	732	0.68	48.9	63.1	34.4	49.2	49.8
b0277	627	0.668	44.8	51.2	34	49.3	53
b0278	699	0.618	37.3	43.3	32.6	36.1	52.5
b0279	855	0.631	36.3	42.5	31.9	34.4	58.7
b4729	225	0.611	40.9	48	38.7	36	53.9
b0280	441	0.608	43.5	44.2	50.3	36.1	56.8
b0281	1401	0.633	44.3	50.3	43.9	38.8	55.7
b0282	411	0.618	52.6	60.6	44.5	52.6	55
b0283	957	0.665	60	67.1	47.3	65.5	51.2
b0284	2199	0.7	59.4	64.8	47.1	66.4	46.9
b0285	957	0.676	60.7	67.7	49.2	65.2	43.9
b0286	690	0.663	54.8	60	46.5	57.8	56.9
b0287	615	0.648	45.2	54.1	42.4	39	59.6
b0288	330	0.636	50.3	45.5	56.4	49.1	58.7
b0289	711	0.661	53	56.5	45.6	57	50.2
b0290	1644	0.706	51.6	45.1	47.3	62.4	51.6
b0291	2526	0.677	55.3	57.1	45.5	63.2	46.9
b0292	669	0.648	54.9	57	43.5	64.1	49.8
b0293	588	0.716	52.9	51.5	49.5	57.7	40.2
b0294	591	0.71	39.1	41.6	32	43.7	52.5
b0295	228	0.633	43.9	48.7	38.2	44.7	61
b4506	141	0.651	41.8	53.2	40.4	31.9	26.6
b0296	264	0.648	45.8	48.9	42	46.6	52.7
b4671	102	0.735	28.4	44.1	8.8	32.4	48.5
b0298	300	0.67	50	59	43	48	59.4
b0299	867	0.685	55.1	56.7	46.7	61.9	47.7
b0301	594	0.667	44.9	51.5	40.4	42.9	53.5
b0303	237	0.685	35.4	36.7	41.8	27.8	46.4
b0304	1326	0.671	45.6	56.8	38	41.9	52.9
b0305	855	0.645	51.2	57.9	44.9	50.9	55.3
b0306	720	0.687	50.6	57.9	40.8	52.9	54.5
b0307	1428	0.688	50.2	59.5	42.4	48.7	49.5
b0308	696	0.711	52.2	63.4	40.9	52.2	45.7
b0310	669	0.637	36.9	41.7	32.3	36.8	54.8
b0311	1671	0.776	57.1	62.5	43.8	65	41.2
b0312	1473	0.79	58.2	61.3	44.6	68.8	35.2
b0313	588	0.755	56.8	61.2	44.9	64.3	43.9
b0314	2034	0.75	55.3	54.1	41.3	70.5	41.1
b4730	75	0.705	24	28	20	24	33.4
b0315	1089	0.696	45.9	53.4	34.7	49.6	50.4
b0316	933	0.75	49.3	51.8	40.2	55.9	47.7
b0317	498	0.675	52.8	50.6	52.4	55.4	42.8
b0318	606	0.719	45.4	57.9	37.1	41.1	46.1
b0319	864	0.679	47.1	57.6	37.5	46.2	53.3
b0320	1548	0.758	55.6	61.8	38.8	66.1	42.4
b0321	1419	0.778	58.4	59.8	42.9	72.3	38.2
b0322	297	0.651	57.6	66.7	50.5	55.6	32.1
b0323	951	0.75	56.2	65.3	40.7	62.5	44
b0324	1383	0.764	56.3	61.4	39.9	67.5	43.1
b0325	1050	0.698	53.3	64	42.3	53.7	50.3
b0326	816	0.658	38.8	50	27.6	39	54.5
b0327	246	0.58	46.7	46.3	43.9	50	60.2
b0328	672	0.651	49.4	54	45.5	48.7	57.4
b0329	276	0.734	38.8	43.5	31.5	41.3	54.6
b0330	1587	0.721	55.2	63.5	43.3	58.8	46.2
b0331	891	0.776	56.1	63.6	41.8	63	38.6
b0333	1170	0.765	55.6	60.8	40.8	65.4	40.1
b0334	1452	0.751	57	61.8	40.5	68.6	39.3
b0335	1887	0.757	58.4	62.2	45	68	40.4
b0336	1260	0.713	53.9	56.2	44.8	60.7	47.9
b0337	1284	0.756	53.4	61.4	38.8	60	45.8
b0338	900	0.667	55	63	43	59	54.7
b0339	660	0.686	57.3	64.5	47.7	59.5	53.3
b0340	471	0.739	50.5	60.5	36.9	54.1	47.5
b0341	1155	0.669	58.7	62.9	47.8	65.5	52.9
b0342	612	0.675	42.8	48.5	36.3	43.6	59.9
b0343	1254	0.755	46.3	47.6	37.6	53.8	47.2
b0344	3075	0.744	56.3	62	43.6	63.1	44.9
b0345	1083	0.732	56.3	63.7	43.2	62	47.6
b0346	834	0.717	55.8	65.1	42.8	59.4	48
b0347	1665	0.759	57	65.4	40.7	64.9	43.6
b0348	945	0.688	57.8	65.1	44.1	64.1	47.9
b0349	867	0.765	54.7	61.6	41.2	61.2	40.7
b0350	810	0.737	55.2	65.9	44.4	55.2	45.8
b0351	951	0.739	54.5	63.1	43.5	56.8	45.9
b0352	1014	0.752	56.5	66	41.4	62.1	45.4
b0353	1212	0.668	57.4	59.9	51.2	61.1	53.1
b0354	540	0.73	48.1	57.8	33.3	53.3	51.4
b0355	834	0.717	48.6	56.1	37.1	52.5	51.7
b0356	1110	0.745	53.7	62.4	43.2	55.4	40.8
b0357	276	0.589	53.3	67.4	41.3	51.1	47.9
b0358	774	0.71	50.1	53.1	47.3	50	45.9
b0360	366	0.594	53	65.6	40.2	53.3	54.9
b0361	906	0.621	55.1	61.3	47.7	56.3	52.5
b0363	1197	0.682	50	52.9	44.6	52.4	53.4
b4731	120	0.712	43.3	30	32.5	67.5	50.6
b0364	558	0.65	43.4	55.9	37.1	37.1	51.1
b0365	963	0.739	56.3	62.3	42.4	64.2	44
b0366	768	0.709	56	67.6	38.7	61.7	49.1
b0367	828	0.734	57.2	63	45.3	63.4	38.5
b0368	852	0.737	54.5	63.7	41.2	58.5	42.4
b0369	975	0.735	53.9	61.5	42.8	57.5	46.7
b0372	867	0.685	55.1	56.7	46.7	61.9	47.7
b0373	300	0.67	50	59	43	48	59.4
b0375	624	0.648	39.4	49	33.2	36.1	51.8
b0376	1158	0.729	55.4	57.3	47.7	61.1	44.1
b0377	1221	0.723	51.4	52.8	37.6	63.6	43.6
b0378	1095	0.707	53.4	57	44.9	58.4	49.9
b0379	309	0.737	52.4	57.3	42.7	57.3	52.2
b0380	213	0.73	48.8	56.3	38	52.1	46.1
b0381	1095	0.722	51.1	61.1	38.1	54	49.3
b0382	261	0.634	46.4	60.9	24.1	54	48.7
b0383	1416	0.709	53.4	62.1	47	51.1	47.2
b0384	321	0.674	47.7	47.7	43.9	51.4	52.5
b0385	1116	0.705	53.7	56.7	44.6	59.7	51.6
b0386	810	0.716	54.6	61.1	43.7	58.9	45.8
b0387	459	0.709	56.4	65.4	47.7	56.2	50.7
b0388	525	0.674	52.2	61.7	43.4	51.4	54
b0389	192	0.633	48.4	57.8	43.8	43.8	36.3
b0390	678	0.704	46.5	60.6	31	47.8	54
b0391	285	0.753	51.9	54.7	43.2	57.9	37.1
b4732	84	0.653	41.7	46.4	46.4	32.1	50.7
b0393	912	0.782	51.5	59.5	36.5	58.6	40.4
b0394	909	0.714	55.7	64	46.9	56.1	48.3
b0396	1185	0.695	50.7	51.9	43	57.2	49.5
b0397	3147	0.707	53.8	67.1	37	57.3	48.9
b0398	1203	0.735	53.3	63.8	40.1	55.9	47.2
b0399	690	0.712	54.5	64.3	37.8	61.3	48.9
b0400	1296	0.719	53	60.9	39.4	58.8	46.1
b0401	1320	0.739	55.6	59.3	46.4	61.1	40.9
b0402	1374	0.755	52.9	51.3	41.5	65.9	37.8
b0403	1815	0.721	54.6	64.8	41.5	57.5	46.9
b0404	582	0.734	53.1	60.3	39.7	59.3	48.7
b0405	1071	0.767	54.2	63	38.9	60.5	42.8
b0406	1128	0.732	51.3	60.4	38.8	54.8	46.8
b0407	333	0.764	49.5	55.9	36.9	55.9	41.9
b0408	1848	0.73	53.2	60.2	39.3	60.1	42.4
b0409	972	0.728	51.6	56.8	38	60.2	43.8
b0410	348	0.755	47.1	51.7	35.3	54.3	49
b0411	885	0.758	50.5	49.2	40	62.4	35.7
b0412	540	0.656	47.6	55.6	36.7	50.6	50.8
b0413	450	0.748	51.3	60	36	58	43.6
b0414	1104	0.685	55.3	67.7	44	54.3	48.1
b0415	471	0.747	52.2	63.1	43.9	49.7	36.1
b0416	420	0.714	53.8	67.1	35	59.3	44.7
b0417	978	0.702	54.4	63.5	44.5	55.2	48.7
b0418	519	0.715	53.2	53.2	41	65.3	42.7
b0419	975	0.698	53	63.4	41.8	53.8	52.7
b0420	1863	0.767	54.3	61	40.6	61.2	41.9
b0421	900	0.702	54.2	66.7	42.3	53.7	52.1
b0422	243	0.735	55.1	70.4	34.6	60.5	45.7
b0423	1449	0.785	52.2	60.7	32.9	62.9	38.7
b0424	591	0.74	56.5	64	43.7	61.9	47.8
b0425	912	0.729	51.9	58.9	40.1	56.6	47
b0426	492	0.792	50	58.5	31.7	59.8	41.3
b0427	1365	0.713	52.6	56.5	41.5	59.8	48.6
b0428	891	0.732	53.8	52.9	40.1	68.4	46.9
b0429	330	0.74	49.7	45.5	36.4	67.3	36
b0430	615	0.763	53.5	50.2	40.5	69.8	36
b0431	1992	0.75	53	52	39	67.9	39.5
b0432	948	0.718	50.9	49.4	40.8	62.7	49.5
b0433	1476	0.664	53.7	58.5	44.3	58.1	54.2
b0434	579	0.777	51.3	54.9	38.3	60.6	36.7
b0435	318	0.652	48.4	58.5	41.5	45.3	57
b0436	1299	0.752	51.2	66.1	33.5	54	31
b0437	624	0.769	51.1	58.7	38	56.7	46.5
b0438	1275	0.776	51.5	62.6	36.5	55.5	40.3
b0439	2355	0.756	52.3	63.3	35.4	58.2	40.6
b0440	273	0.659	49.1	61.5	48.4	37.4	44.4
b0441	1872	0.775	52.4	62.2	34.9	59.9	38.3
b0442	372	0.728	54.8	63.7	46.8	54	43.3
b0443	399	0.705	46.1	55.6	29.3	53.4	55.8
b0444	696	0.767	51.7	59.5	40.5	55.2	43.7
b0445	1701	0.682	53	61.9	42.7	54.3	50.5
b0446	819	0.704	51.4	59.7	39.6	54.9	49.4
b0447	459	0.719	51.9	56.9	35.3	63.4	51.8
b0448	1773	0.723	54	62.6	39.9	59.6	45.8
b0449	1782	0.724	56.3	65.5	39.9	63.5	44.8
b0450	339	0.708	50.7	61.9	33.6	56.6	35.2
b0451	1287	0.739	56.2	59	44.1	65.5	44.4
b0452	861	0.734	52.5	63.8	39.4	54.4	48.3
b0453	573	0.717	53.9	60.7	50.3	50.8	42.5
b0454	390	0.683	54.1	64.6	44.6	53.1	51.3
b0456	354	0.67	49.4	57.6	35.6	55.1	59.6
b0457	1551	0.704	48	55.7	37.3	51.1	52.1
b0458	471	0.747	47.1	53.5	34.4	53.5	45.4
b0459	552	0.667	48.4	57.6	39.7	47.8	55.1
b0460	219	0.774	40.6	43.8	32.9	45.2	38.1
b0461	375	0.69	40.5	46.4	28.8	46.4	50
b0462	3150	0.739	54	58.5	39.8	63.6	40.5
b0463	1194	0.694	53.9	64.1	43	54.5	46.1
b0464	648	0.659	45.4	56.5	36.1	43.5	57.1
b0465	3363	0.744	51.9	58.3	35.8	61.6	43.2
b0466	162	0.756	48.1	64.8	27.8	51.9	38.3
b0467	528	0.724	58.9	74.4	46	56.2	43.7
b0468	378	0.735	52.1	51.6	40.5	64.3	48.5
b0469	552	0.755	54.3	64.1	38	60.9	34
b0470	1932	0.735	57.7	67.9	43.2	62	45.3
b0471	330	0.758	52.7	63.6	34.5	60	36.1
b0472	606	0.729	57.8	64.9	45	63.4	46
b0473	1875	0.775	52.9	61.3	35	62.2	35.8
b0474	645	0.753	51.8	66	36.7	52.6	32.5
b0475	963	0.734	53.9	63.6	43.3	54.8	46.7
b0476	960	0.673	52.1	59.7	42.2	54.4	52.9
b0477	1305	0.772	51.9	57.7	40	57.9	41.3
b0478	1677	0.729	55.5	65.1	39.7	61.5	46
b0479	1221	0.69	52.4	55.3	43.5	58.5	52
b0480	1653	0.766	50.9	59.7	36.8	56.1	41.9
b0481	480	0.707	50.8	63.7	36.2	52.5	49.5
b0482	795	0.668	54.1	62.3	37.4	62.6	50.8
b0483	342	0.674	44.7	57.9	33.3	43	39.8
b0484	2505	0.73	58.3	66.6	45.7	62.5	43.5
b0485	933	0.71	53.2	62.7	42.1	54.7	51.2
b0486	1293	0.725	53.3	53.6	40.1	66.1	47.7
b0487	408	0.744	58.6	63.2	39.7	72.8	41.4
b0488	459	0.66	57.3	63.4	43.8	64.7	57.1
b0489	918	0.761	52.8	58.2	38.9	61.4	41.5
b0490	678	0.678	45.4	54.9	34.1	47.3	52.9
b0491	780	0.739	46.2	45.8	36.5	56.2	46.6
b0492	855	0.785	55.9	67.4	34	66.3	42.4
